title,artist,album,isrc,platform,trackId,duration,addedDate,addedBy,url
"Villa Farris - Prins Thomas Miks","Marius Vareid",Telemark,DECY51260024,beatport,3607692,278,,,https://beatport.com/track/villa-farris/3607692
"2 After 909 - Maxi Version","Justus Kohncke","2 After 909",DEU670200033,beatport,22504183,324,,,https://beatport.com/track/2-after-909/22504183
Matinee,"Himan, Fever 105","The Golden Age - EP",FRP931200110,beatport,3334975,203,,,https://beatport.com/track/matinee/3334975
Soda,Pitchben,Pitchslap,DEM091100068,beatport,3002744,341,,,https://beatport.com/track/soda/3002744
"You Keep Me - Cosmic Kids Remix",Trujillo,"Apersonal Remixed: Nights",ESA041103723,beatport,16479067,323,,,https://beatport.com/track/you-keep-me/16479067
"The Chase 2011 - Martin Brodin Dubbed Out Mix","Giorgio Moroder","The Chase 2011",SEVMN1100102,beatport,1668232,395,,,https://beatport.com/track/the-chase-2011/1668232
"How Long Can I Wait For You","Satin Jackets","On The Latch EP",DEY470909288,beatport,3356475,468,,,https://beatport.com/track/how-long-can-i-wait-for-you/3356475
"You And I feat. Cari Golden ","Cari Golden, Fur Coat","You And I",GB7NR1292001,beatport,3325747,474,,,https://beatport.com/track/you-and-i-feat-cari-golden/3325747
"Love Sick feat. Plavka - Mock & Toof Remix","Nufrequency, PLAVKA","Rebirth Classics - Disco",ITJ780700031,beatport,3284457,456,,,https://beatport.com/track/love-sick-feat-plavka/3284457
Monument,"Tevo Howard","Monument EP",GBFYT1200001,beatport,3319511,388,,,https://beatport.com/track/monument/3319511
"Cosmos - Prins Thomas Diskomiks","Martin Iveson, All Is Well",Cosmos,DECY52003091,beatport,14753378,400,,,https://beatport.com/track/cosmos/14753378
"No Drama","Guy J","A Moment Of Clarity EP",GBHFW2500146,beatport,22048499,461,,,https://beatport.com/track/no-drama/22048499
"Perception - Extended Version","Jerome Isma-Ae","Global Underground: Unique #3",GBHFW2500109,beatport,21484536,362,,,https://beatport.com/track/perception/21484536
"A Moment Of Clarity","Guy J","A Moment Of Clarity EP",GBHFW2500145,beatport,22048498,456,,,https://beatport.com/track/a-moment-of-clarity/22048498
"Shooting Stars - Extended Version","D-Nox, Stereo Underground","Global Underground: Unique #3",GBHFW2500087,beatport,21484543,423,,,https://beatport.com/track/shooting-stars/21484543
"You Feel It - Extended Version","Grigoré, Serve Cold","Global Underground: Unique #3",GBHFW2500101,beatport,21484547,417,,,https://beatport.com/track/you-feel-it/21484547
"Lovin' Me",BRS,"Late Night Tales: Another Late Night - Groove Armada",GB5EM1001046,beatport,23070039,413,,,https://beatport.com/track/lovin-me/23070039
"Is This How You Feel? - Classixx Remix","The Preatures","Is This How You Feel? (Classixx Remix)",AUUM71300984,beatport,23588473,216,,,https://beatport.com/track/is-this-how-you-feel/23588473
Bonysh,"Todd Terje",Ragysh,DECY51101783,beatport,7032807,343,,,https://beatport.com/track/bonysh/7032807
"World Away - Felix Da Housecat Remix","Etienne De Crecy, Alexis Taylor","WARM UP REMIXES",FRU982600009,beatport,28317891,280,,,https://beatport.com/track/world-away/28317891
"Go That Deep feat. Shara Nelson - Skylark Vocal Remix",Nufrequency,"Go That Deep Unreleased Remixes",GBHSF0800104,beatport,810711,434,,,https://beatport.com/track/go-that-deep-feat-shara-nelson/810711
"People - Nick Curly Remix","Mark Broom","2020Remixes Vol.2",GBEWY0900087,beatport,6470549,492,,,https://beatport.com/track/people/6470549
"Harem Disco","DJ T.","Trans Orient Express",DEBE72000013,beatport,13182271,398,,,https://beatport.com/track/harem-disco/13182271
"Street Beat - Map.ache Remix","Tom Bioly","Romance RMXD",DECY62000086,beatport,14176467,480,,,https://beatport.com/track/street-beat/14176467
"Elevate (feat. The New Mastersounds) - Maurice Fulton Remix","Fred Everything, The New Mastersounds","Fred Everything x 20/20 Vision - Full Circle",GBEWY2100307,beatport,24186424,387,,,https://beatport.com/track/elevate-feat-the-new-mastersounds/24186424
"Content - Dawn Mix","Tevo Howard","Permanent Vacation Safari 3",DECY61200060,beatport,6526714,316,,,https://beatport.com/track/content/6526714
Move!,"Trevor Rockliffe","Global Underground #38: Carl Cox - Black Rock Desert",GBHFW1000027,beatport,8449757,355,,,https://beatport.com/track/move/8449757
"99 & a Half feat. Alexander East - I:Cube Remix","Alexander East, Phonique","99 & A Half",DEL020480046,beatport,14952765,426,,,https://beatport.com/track/99-a-half-feat-alexander-east/14952765
Flurry,Neinzer,"Flurry / Obsoletion",UK6RJ2300001,beatport,18345843,404,,,https://beatport.com/track/flurry/18345843
"Beats, Strings & Life",Shur-I-Kan,"20 Years of Lazy Days",DEY472174561,beatport,20753483,362,,,https://beatport.com/track/beats-strings-life/20753483
"Barefooted - Soulphiction's Roller Skating Mix","Crazy P","Age of the Ego - Remixes",DEG932201928,beatport,16554627,320,,,https://beatport.com/track/barefooted/16554627
"Your Way - Enoo Napa Afro Mix","Emanuele Esposito, Darksidevinyl","Your Way",DEY472277334,beatport,16909143,452,,,https://beatport.com/track/your-way/16909143
"Opera Buffa","DJ T.","The Pleasure Principle",DEBE71100007,beatport,1771067,315,,,https://beatport.com/track/opera-buffa/1771067
"Arcadia (feat. Irene Kalisvaart) - The Modernist Mix","Triola, Irene Kalisvaart","Kompakt: Total 25",DEU672501013,beatport,21674470,266,,,https://beatport.com/track/arcadia-feat-irene-kalisvaart/21674470
"Borders - Eitan Reiter Remix","Jossie Telch","Borders Remixes",USQY51289759,beatport,3549859,434,,,https://beatport.com/track/borders/3549859
"Shake it Out","Nicolas Masseyeff, Parallelle","Shake It Out",GB7NR2533502,beatport,20675844,407,,,https://beatport.com/track/shake-it-out/20675844
"Windswept Sand Dune - Fred Everything Space Re-Do","Franky Selector",UnReWorks,QMQ641761004,beatport,14857378,353,,,https://beatport.com/track/windswept-sand-dune/14857378
"Triangle Folds - DJ-KiCKS","James Holden","Triangle Folds",DEG931000148,beatport,1225322,521,,,https://beatport.com/track/triangle-folds/1225322
"Last Knockers - Mr. Tea Alternative Version","Crazy P","Canal Del Mar, Volumen 3",GBEYE2300025,beatport,17931717,403,,,https://beatport.com/track/last-knockers/17931717
Presence,Lrusse,DJ-Kicks,DEG931400560,beatport,5348542,369,,,https://beatport.com/track/presence/5348542
"New Generation - Space 92 Remix","Layton Giordani","Drumcode Presents: 2024",GBUR62000810,beatport,19899226,342,,,https://beatport.com/track/new-generation/19899226
"Yeah Yeah","Waifs & Strays","The Extended Family Part 2 E.P.",GBQWD0702401,beatport,1977882,449,,,https://beatport.com/track/yeah-yeah/1977882
"Amour Ex Machina",L'Imperatrice,Pulsar,FR9W12410359,beatport,29263948,244,,,https://beatport.com/track/amour-ex-machina/29263948
"Love Breaks Down","The Revenge","Love Breaks Down",USA672100025,beatport,18609720,366,,,https://beatport.com/track/love-breaks-down/18609720
"Beat Organ",16BL,"25 Years Of Anjuna Mixed By HANA",GBEWA1400310,beatport,21016409,384,,,https://beatport.com/track/beat-organ/21016409
"Bring It Back","Session Victim","Listen To Your Heart",GBZHR1600251,beatport,9184660,381,,,https://beatport.com/track/bring-it-back/9184660
Cosmogonie,L'Imperatrice,Pulsar,FR9W12410358,beatport,29263947,170,,,https://beatport.com/track/cosmogonie/29263947
"Daddy AF",Slayyyter,"Daddy AF",USAT21902696,beatport,24777996,152,,,https://beatport.com/track/daddy-af/24777996
edamame,"bbno$, Rich Brian","eat ya veggies",QMUY42100151,beatport,15672470,134,,,https://beatport.com/track/edamame/15672470
"Freakout At The Mud Palace","The Waterboys","Life, Death And Dennis Hopper",USSE62400095,beatport,24235771,184,,,https://beatport.com/track/freakout-at-the-mud-palace/24235771
"Jumpin' - Wh0 Extended Remix","Todd Terry, Jocelyn Brown, Martha Wash","Ibiza Summer Jamz 2023",USMKQ2200045,beatport,16841036,301,,,https://beatport.com/track/jumpin/16841036
"Song For You - Jacques Greene Remix",Rhye,"Song For You (Remixes)",USC4R1802362,beatport,15737678,348,,,https://beatport.com/track/song-for-you/15737678
"Stop Space Return - Unabombers Vocal Mix","Crazy P","Stop Space Return - Remixes Part 1",GBEWY0900044,beatport,851283,396,,,https://beatport.com/track/stop-space-return/851283
"Training Season - Extended","Dua Lipa","Radical Optimism (Extended Versions)",GBAHT2400093,beatport,22116540,296,,,https://beatport.com/track/training-season/22116540
"You With Me","Viken Arman","Alone Together",DEG932301582,beatport,17769129,165,,,https://beatport.com/track/you-with-me/17769129
"1 2 3 4 - Original","Antoine Clamaran","1 2 3 4",QMDA72317864,beatport,18061055,358,,,https://beatport.com/track/1-2-3-4/18061055
"One More Time - 12 Mix","Daft Punk","One More Time",GBDUW0000051,beatport,6014288,480,,,https://beatport.com/track/one-more-time/6014288
"Disco Sucks So Good - Dubka Remix",Michoacan,"Disco Sucks So Good",BEN581200675,beatport,3867685,432,,,https://beatport.com/track/disco-sucks-so-good/3867685
Doorknocker,"Spf 5000",Doorknocker,USNRS1229428,beatport,3317276,458,,,https://beatport.com/track/doorknocker/3317276
"Wha..Kiddin - Stefan Goldmann Bonus Tool",BGB,Wha..Kiddin,DEL020480004,beatport,23253,128,,,https://beatport.com/track/whakiddin/23253
"Silence Of Love","Tiga, Hudson Mohawke, Jesse Boykins III","Silence Of Love",DGA082396271,beatport,18138413,250,,,https://beatport.com/track/silence-of-love/18138413
Italove,Emmanuelle,"Dogman (Original Motion Picture Soundtrack)",GBKPL1667106,beatport,23750354,319,,,https://beatport.com/track/italove/23750354
"Falling Down - Jonathan Kaspar 'Midnight' Remix","Damian Lazarus, A-Trak, TEED","Falling Down (Jonathan Kaspar 'Midnight' Remix)",GB7NR2556209,beatport,22806782,422,,,https://beatport.com/track/falling-down/22806782
"Mutante - Gui Boratto Rework","Gui Boratto, Rita Lee, Roberto De Carvalho","Rita Lee & Roberto – Classix Remix Vol. l",BRUM72003224,beatport,15200068,500,,,https://beatport.com/track/mutante/15200068
"Hands & Sneakers ","Adrian Mart","Hands & Sneakers",GBLV62527394,beatport,23030689,345,,,https://beatport.com/track/hands-sneakers/23030689
"Tour De Fonque",HOSH,"Totally Leena - Chapter One",DECL11100354,beatport,18222246,422,,,https://beatport.com/track/tour-de-fonque/18222246
"YoYo Disco - Purple Disco Machine Extended Remix","Wolfram, Josh Ludlow","Defected presents House Masters - Purple Disco Machine",GBCPZ2322634,beatport,23962170,339,,,https://beatport.com/track/yoyo-disco/23962170
"Town Of Sorrow - Mic Newman Remix","Bertie Blackman","Global Underground: Nubreed 8 - Sultan",AUFO30800001,beatport,9280206,427,,,https://beatport.com/track/town-of-sorrow/9280206
"Come Easy - Jimi Jules Remix","Domenico Ferrari, Palinstar","Come Easy",DEM091400037,beatport,5372795,488,,,https://beatport.com/track/come-easy/5372795
Peacemakers,"Marcus Marr","Brown Sauce",US4GE1400095,beatport,6183175,348,,,https://beatport.com/track/peacemakers/6183175
"Don't Turn It Off feat. Qzen","40 Thieves","Don't Turn It Off",DECY60800011,beatport,541362,278,,,https://beatport.com/track/dont-turn-it-off-feat-qzen/541362
"Feel The Rush","Tiga, Hudson Mohawke, Channel Tres","Feel The Rush",QM38F2300011,beatport,17918297,282,,,https://beatport.com/track/feel-the-rush/17918297
"Mutha Sucka - Ron Basejam Remix","Hot Toddy","Om Lounge, Vol. 13",USOM81258302,beatport,4341713,416,,,https://beatport.com/track/mutha-sucka/4341713
"Lebanese Blonde - Extended Mix","Kevin McKay, NOG","Lebanese Blonde",GBPQS2600021,beatport,23414037,314,,,https://beatport.com/track/lebanese-blonde/23414037
"Tom's Diner - Extended Mix","Kevin McKay","Tom's Diner",GBPQS2300057,beatport,17499334,286,,,https://beatport.com/track/toms-diner/17499334
"Don't Come Home (feat Golden Ears) - The Revenge Remix","Gavin Froome, Golden Ears","Don't Come Home EP",CA9AS1600008,beatport,8243090,444,,,https://beatport.com/track/dont-come-home-feat-golden-ears/8243090
"Santa Domino (The Revenge Live Dub Remix)",CLASSIXX,"Santa Domino",USD8D1370003,beatport,16222127,539,,,https://beatport.com/track/santa-domino-the-revenge-live-dub-remix/16222127
"Music Sounds Better With You",Stardust,"Music Sounds Better With You",FR11Q9800000,beatport,12247392,403,,,https://beatport.com/track/music-sounds-better-with-you/12247392
"ADD SUV (feat. Pharrell Williams)","Pharrell Williams, Uffie feat. Pharrell Williams","Sex Dreams And Denim Jeans",FR0NT0900280,beatport,10129143,209,,,https://beatport.com/track/add-suv-feat-pharrell-williams/10129143
"After The Tone - DJ T. Mix","Random Factor",Convergence,GBEWY0400013,beatport,1724308,507,,,https://beatport.com/track/after-the-tone/1724308
"Another Dimension - Spirit Catcher Main Mix","Silver City","2020Remixes Vol.1",GBEWY0800166,beatport,5950007,397,,,https://beatport.com/track/another-dimension/5950007
"Back Again","Nathalie Capello","Permanent Vacation Selected Label Works 12",DECY62400094,beatport,22883377,301,,,https://beatport.com/track/back-again/22883377
"Bizarre Love Triangle - Shep Pettibone Remix; 2023 Digital Master","New Order","Substance (2023 Reissue)",GBCRL2300184,beatport,22080583,404,,,https://beatport.com/track/bizarre-love-triangle/22080583
"Blue Monday - Extended Mix","Blank Sense","Blue Monday",GBPQS2500196,beatport,20707595,411,,,https://beatport.com/track/blue-monday/20707595
"Drop The Pressure - Purple Disco Machine Remix","Mylo, Claptone","Drop The Pressure (Purple Disco Machine Remix)",GBENL2002693,beatport,13601981,381,,,https://beatport.com/track/drop-the-pressure/13601981
"End Of Summer","Tame Impala","End Of Summer",USQX92502794,beatport,20792483,434,,,https://beatport.com/track/end-of-summer/20792483
"Home - Kink Mix","Darren Emerson","Collect: Global Underground Remixed",GBHFW0900143,beatport,12719781,430,,,https://beatport.com/track/home/12719781
"It's Summertime - Lindstrom & Prins Thomas Remix","Morcheeba, Lindstrom & Prins Thomas","Blaze Away - The Remixes",GBGLW1800199,beatport,11885892,481,,,https://beatport.com/track/its-summertime/11885892
Landline,"The Revenge","Love Breaks Down",USA672100024,beatport,18609719,413,,,https://beatport.com/track/landline/18609719
"Living Easy","Josh Butler","Hood Rat EP",DEW872404012,beatport,19229732,424,,,https://beatport.com/track/living-easy/19229732
"Lose My Mind","Jamie Jones, Connie Constance","Lose My Mind",QZUCN2200509,beatport,25995805,182,,,https://beatport.com/track/lose-my-mind/25995805
"Mr Brightside - Extended Mix","Just Fine, Gorje Hewek","Mr Brightside",GBPQS2400488,beatport,19916043,437,,,https://beatport.com/track/mr-brightside/19916043
Otherside,"Poolside, MiiRACLES, Thunder Jackson","Otherside - Orsay Remix",GBCFB2500541,beatport,28728162,184,,,https://beatport.com/track/otherside/28728162
"Pushing On - Jesse Rose 'Live From The Villa' Remix","Oliver Dollar, Jimi Jules","Pushing On",GBCEN1400782,beatport,28969171,381,,,https://beatport.com/track/pushing-on/28969171
"Ready For The Floor","Hot Chip","Made In The Dark",GBAYE0703181,beatport,9471990,234,,,https://beatport.com/track/ready-for-the-floor/9471990
"Say My Name - U Tern Remix","Holy Ghost!, U Tern","Static On the Wire",US4GE1000061,beatport,6159851,338,,,https://beatport.com/track/say-my-name/6159851
"Say Something (People Stamp Your Feet) feat. Natalie Broomes - Akufen Remix","Luke Solomon, Natalie Broomes","Say Something (People Stamp Your Feet)",GBCPZ1306860,beatport,4265017,443,,,https://beatport.com/track/say-something-people-stamp-your-feet-feat-natalie-broomes/4265017
"Sometimes the Fool","6th Borough Project","One Night in the Borough",GBZHR0900061,beatport,17661620,402,,,https://beatport.com/track/sometimes-the-fool/17661620
"Spaghetti Circus","Still Going","Spaghetti Circus",US4GE0900113,beatport,6159187,514,,,https://beatport.com/track/spaghetti-circus/6159187
"Strings, Beats & Life",Shur-I-Kan,"Beats, Strings & Life",DEY472174561,beatport,15511773,362,,,https://beatport.com/track/strings-beats-life/15511773
"Strong Enough","Junior Sanchez","Circus Recordings Moments, Vol. 12",GBSCL1813023,beatport,15036130,374,,,https://beatport.com/track/strong-enough/15036130
"Teardrops - 7"" Single Version","Womack & Womack",Teardrops,USIR28800378,beatport,27342876,229,,,https://beatport.com/track/teardrops/27342876
"The Pace",Ford.,"The Pace",GBCFB2300185,beatport,17683981,182,,,https://beatport.com/track/the-pace/17683981
"We Bring The Music - Jimpster Remix","Freak Seven","2020Remixes Vol.1",GBEWY1200002,beatport,5950000,470,,,https://beatport.com/track/we-bring-the-music/5950000
Intro,"Fred Falke, Alan Braxe",Running,FR08V0000010,beatport,17393856,295,,,https://beatport.com/track/intro/17393856
